HMDB ID;Name;Chemical Formula;Monoisotopic Mass;Average Mass;
HMDB00001;1-Methylhistidine;C7H11N3O2;169.0851266;169.1811;
HMDB00002;1,3-Diaminopropane;C3H10N2;74.08439833;74.1249;
HMDB00005;2-Ketobutyric acid;C4H6O3;102.0316941;102.0886;
HMDB00008;2-Hydroxybutyric acid;C4H8O3;104.0473441;104.1045;
HMDB00010;2-Methoxyestrone;C19H24O3;300.1725446;300.3921;
HMDB00011;(R)-3-Hydroxybutyric acid;C4H8O3;104.0473441;104.1045;
HMDB00012;Deoxyuridine;C9H12N2O5;228.0746215;228.202;
HMDB00014;Deoxycytidine;C9H13N3O4;227.0906059;227.2172;
HMDB00015;Cortexolone;C21H30O4;346.2144094;346.4605;
HMDB00016;Deoxycorticosterone;C21H30O3;330.2194948;330.4611;
HMDB00017;4-Pyridoxic acid;C8H9NO4;183.0531578;183.1614;
HMDB00019;Alpha-ketoisovaleric acid;C5H8O3;116.0473441;116.1152;
HMDB00020;p-Hydroxyphenylacetic acid;C8H8O3;152.0473441;152.1473;
HMDB00021;Iodotyrosine;C9H10INO3;306.9705366;307.0851;
HMDB00022;3-Methoxytyramine;C9H13NO2;167.0946287;167.205;
HMDB00023;(S)-3-Hydroxyisobutyric acid;C4H8O3;104.0473441;104.1045;
HMDB00024;3-O-Sulfogalactosylceramide (d18:1/24:0);C48H93NO11S;891.6469335;892.317;
HMDB00026;Ureidopropionic acid;C4H8N2O3;132.0534921;132.1179;
HMDB00027;Tetrahydrobiopterin;C9H15N5O3;241.1174894;241.2471;
HMDB00030;Biotin;C10H16N2O3S;244.0881631;244.311;
HMDB00031;Androsterone;C19H30O2;290.2245802;290.4403;
HMDB00032;7-Dehydrocholesterol;C27H44O;384.339216;384.6377;
HMDB00033;Carnosine;C9H14N4O3;226.1065903;226.2325;
HMDB00034;Adenine;C5H5N5;135.0544952;135.1267;
HMDB00036;Taurocholic acid;C26H45NO7S;515.2916735;515.703;
HMDB00037;Aldosterone;C21H28O5;360.193674;360.444;
HMDB00038;Dihydrobiopterin;C9H13N5O3;239.1018393;239.2312;
HMDB00039;Butyric acid;C4H8O2;88.0524295;88.1051;
HMDB00042;Acetic acid;C2H4O2;60.02112937;60.052;
HMDB00043;Betaine;C5H11NO2;117.0789786;117.1463;
HMDB00044;Ascorbic acid;C6H8O6;176.032088;176.1241;
HMDB00045;Adenosine monophosphate;C10H14N5O7P;347.0630843;347.2212;
HMDB00048;Melibiose;C12H22O11;342.1162115;342.2965;
HMDB00050;Adenosine;C10H13N5O4;267.0967539;267.2413;
HMDB00051;Ammonia;H3N;17.0265491;17.0305;
HMDB00052;Argininosuccinic acid;C10H18N4O6;290.1226343;290.2731;
HMDB00053;Androstenedione;C19H26O2;286.1932801;286.4085;
HMDB00054;Bilirubin;C33H36N4O6;584.2634849;584.6621;
HMDB00055;Cellobiose;C12H22O11;342.1162115;342.2965;
HMDB00056;Beta-Alanine;C3H7NO2;89.04767847;89.0932;
HMDB00058;Cyclic AMP;C10H12N5O6P;329.0525197;329.2059;
HMDB00060;Acetoacetic acid;C4H6O3;102.0316941;102.0886;
HMDB00061;Adenosine 3',5'-diphosphate;C10H15N5O10P2;427.0294147;427.2011;
HMDB00062;L-Carnitine;C7H15NO3;161.1051934;161.1989;
HMDB00063;Cortisol;C21H30O5;362.2093241;362.4599;
HMDB00064;Creatine;C4H9N3O2;131.0694765;131.1332;
HMDB00067;Cholesterol;C27H46O;386.3548661;386.6535;
HMDB00068;Epinephrine;C9H13NO3;183.0895433;183.2044;
HMDB00070;Pipecolic acid;C6H11NO2;129.0789786;129.157;
HMDB00071;Deoxyinosine;C10H12N4O4;252.0858549;252.23;
HMDB00072;cis-Aconitic acid;C6H6O6;174.0164379;174.1082;
HMDB00073;Dopamine;C8H11NO2;153.0789786;153.1784;
HMDB00076;Dihydrouracil;C4H6N2O2;114.0429274;114.1026;
HMDB00077;Dehydroepiandrosterone;C19H28O2;288.2089301;288.4244;
HMDB00078;Cysteinylglycine;C5H10N2O3S;178.0412129;178.21;
HMDB00079;Dihydrothymine;C5H8N2O2;128.0585775;128.1292;
HMDB00082;Cytidine triphosphate;C9H16N3O14P3;482.9845118;483.1563;
