HMDB_ID;Name;Formula;Monoisotopic Molecular Weight (exact_mass);Average Molecular Weight
HMDB02659;Silver;Ag;106.905093;107.8682
HMDB01247;Aluminum;Al;26.98153844;26.9815386
HMDB15456;Aluminium;Al;26.98153844;26.9815386
HMDB14657;Bentoquatam;Al2H2O6Si;179.9251412;180.0609
HMDB37240;Argon;Ar;39.96238312;39.948
HMDB02290;Arsenic;As;74.92159642;74.9216
HMDB15300;Arsenic trioxide;As2O3;197.8279367;197.8414
HMDB12190;Arsenate;AsH3O4;141.92473;141.943
HMDB11620;Arsenite;AsO3;122.9063403;122.9198
HMDB04138;Gold;Au;196.9665516;196.966569
HMDB02386;Boron;B;11.00930547;10.811
HMDB36492;Borax;B4H20Na2O17;382.0868104;381.372
HMDB04142;Barium;Ba;137.9052413;137.327
HMDB02387;Beryllium;Be;9.012182135;9.012182
HMDB35731;Boric acid (H3BO3);BH3O3;62.01752443;61.833
HMDB34769;Boric acid (HBO2);BHO2;44.00695974;43.818
HMDB02196;Bismuth;Bi;208.9803832;208.9804
HMDB02500;Bromide;Br;78.91833765;79.904
HMDB31434;Bromine;Br2;157.8366753;159.808
HMDB05176;Dolichol-20;C100H164O;1381.27822;1382.3716
HMDB11985;Ganglioside GT1b (d18:1/22:1(13Z));C100H172N4O47;2181.119189;2182.4343
HMDB12015;Ganglioside GT1c (d18:1/22:1(13Z));C100H172N4O47;2181.119189;2182.4343
HMDB11970;Ganglioside GT1b (d18:0/22:1(13Z));C100H174N4O47;2183.134839;2184.4502
HMDB11984;Ganglioside GT1b (d18:1/22:0);C100H174N4O47;2183.134839;2184.4502
HMDB12000;Ganglioside GT1c (d18:0/22:1(13Z));C100H174N4O47;2183.134839;2184.4502
HMDB12014;Ganglioside GT1c (d18:1/22:0);C100H174N4O47;2183.134839;2184.4502
HMDB11969;Ganglioside GT1b (d18:0/22:0);C100H176N4O47;2185.150489;2186.466
HMDB11999;Ganglioside GT1c (d18:0/22:0);C100H176N4O47;2185.150489;2186.466
HMDB32436;Mono- and diglycerides;C100H188O22;1741.359228;1742.5495
HMDB11947;Ganglioside GQ1c (d18:1/12:0);C101H171N5O55;2334.073755;2335.4389
HMDB11932;Ganglioside GQ1c (d18:0/12:0);C101H173N5O55;2336.089405;2337.4548
HMDB11986;Ganglioside GT1b (d18:1/23:0);C101H176N4O47;2197.150489;2198.4767
HMDB12016;Ganglioside GT1c (d18:1/23:0);C101H176N4O47;2197.150489;2198.4767
HMDB11971;Ganglioside GT1b (d18:0/23:0);C101H178N4O47;2199.166139;2200.4926
HMDB12001;Ganglioside GT1c (d18:0/23:0);C101H178N4O47;2199.166139;2200.4926
HMDB12255;Mannosyl-(N-acetylglucosaminyl)2-diphosphodolichol;C102H170N2O22P2;1837.172048;1838.3889
HMDB59953;Maltohepatdecaose;C102H172O86;2772.908563;2774.4055
HMDB11988;Ganglioside GT1b (d18:1/24:1(15Z));C102H176N4O47;2209.150489;2210.4874
HMDB12018;Ganglioside GT1c (d18:1/24:1(15Z));C102H176N4O47;2209.150489;2210.4874
HMDB11973;Ganglioside GT1b (d18:0/24:1(15Z));C102H178N4O47;2211.166139;2212.5033
HMDB11987;Ganglioside GT1b (d18:1/24:0);C102H178N4O47;2211.166139;2212.5033
HMDB12003;Ganglioside GT1c (d18:0/24:1(15Z));C102H178N4O47;2211.166139;2212.5033
HMDB12017;Ganglioside GT1c (d18:1/24:0);C102H178N4O47;2211.166139;2212.5033
HMDB11972;Ganglioside GT1b (d18:0/24:0);C102H180N4O47;2213.181789;2214.5192
HMDB12002;Ganglioside GT1c (d18:0/24:0);C102H180N4O47;2213.181789;2214.5192
HMDB11948;Ganglioside GQ1c (d18:1/14:0);C103H175N5O55;2362.105055;2363.4921
HMDB11933;Ganglioside GQ1c (d18:0/14:0);C103H177N5O55;2364.120705;2365.508
HMDB11989;Ganglioside GT1b (d18:1/25:0);C103H180N4O47;2225.181789;2226.5299
HMDB12019;Ganglioside GT1c (d18:1/25:0);C103H180N4O47;2225.181789;2226.5299
HMDB11974;Ganglioside GT1b (d18:0/25:0);C103H182N4O47;2227.197439;2228.5458
HMDB12004;Ganglioside GT1c (d18:0/25:0);C103H182N4O47;2227.197439;2228.5458
HMDB11991;Ganglioside GT1b (d18:1/26:1(17Z));C104H180N4O47;2237.181789;2238.5406
HMDB12021;Ganglioside GT1c (d18:1/26:1(17Z));C104H180N4O47;2237.181789;2238.5406
HMDB11976;Ganglioside GT1b (d18:0/26:1(17Z));C104H182N4O47;2239.197439;2240.5565
HMDB11990;Ganglioside GT1b (d18:1/26:0);C104H182N4O47;2239.197439;2240.5565
HMDB12006;Ganglioside GT1c (d18:0/26:1(17Z));C104H182N4O47;2239.197439;2240.5565
HMDB12020;Ganglioside GT1c (d18:1/26:0);C104H182N4O47;2239.197439;2240.5565
HMDB11975;Ganglioside GT1b (d18:0/26:0);C104H184N4O47;2241.213089;2242.5724
HMDB12005;Ganglioside GT1c (d18:0/26:0);C104H184N4O47;2241.213089;2242.5724
HMDB11949;Ganglioside GQ1c (d18:1/16:0);C105H179N5O55;2390.136355;2391.5453
HMDB11934;Ganglioside GQ1c (d18:0/16:0);C105H181N5O55;2392.152005;2393.5611
HMDB11951;Ganglioside GQ1c (d18:1/18:1(11Z));C107H181N5O55;2416.152005;2417.5825
HMDB11952;Ganglioside GQ1c (d18:1/18:1(9Z));C107H181N5O55;2416.152005;2417.5825
HMDB11936;Ganglioside GQ1c (d18:0/18:1(11Z));C107H183N5O55;2418.167655;2419.5984
HMDB11937;Ganglioside GQ1c (d18:0/18:1(9Z));C107H183N5O55;2418.167655;2419.5984
HMDB11950;Ganglioside GQ1c (d18:1/18:0);C107H183N5O55;2418.167655;2419.5984
HMDB11935;Ganglioside GQ1c (d18:0/18:0);C107H185N5O55;2420.183305;2421.6143
HMDB12118;(Mannosyl)2-(N-acetylglucosaminyl)2-diphosphodolichol;C108H180N2O27P2;1999.224872;2000.5295
HMDB59954;Maltooctadecaose;C108H182O91;2934.961386;2936.5461
