# ID will be use to load map from url
# subsystem must be a valid name in the subsystem table
# filename must be a .svg with only [a-zA-Z0-9_] characters

#NAME_ID	subsystem name	name	filename
glucocorticoid_biosynthesis	Glucocorticoid biosynthesis	Glucocorticoid biosynthesis	glucocorticoid_biosynthesis.svg
glycerophospholipid_metabolism	Glycerophospholipid metabolism	Glycerophospholipid metabolism	glycerophospholipid_metabolism.svg
glycosphingolipid_biosynthesis_ganglio_series	Glycosphingolipid biosynthesis-ganglio series	Glycosphingolipid biosynthesis-ganglio series	glycosphingolipid_biosynthesis_ganglio_series.svg
glycosphingolipid_biosynthesis_lacto_and_neolacto_series	Glycosphingolipid biosynthesis-lacto and neolacto series	Glycosphingolipid biosynthesis-lacto and neolacto series	glycosphingolipid_biosynthesis_lacto_and_neolacto_series.svg
glycosphingolipid_metabolism	Glycosphingolipid metabolism	Glycosphingolipid metabolism	glycosphingolipid_metabolism.svg
leukotriene_metabolism	Leukotriene metabolism	Leukotriene metabolism	leukotriene_metabolism.svg
n_glycan_metabolism	N-glycan metabolism	N-glycan metabolism	n_glycan_metabolism.svg
omega_3_fatty_acid_metabolism	Omega-3 fatty acid metabolism	Omega-3 fatty acid metabolism	omega_3_fatty_acid_metabolism.svg
omega_6_fatty_acid_metabolism	Omega-6 fatty acid metabolism	Omega-6 fatty acid metabolism	omega_6_fatty_acid_metabolism.svg
pyruvate_metabolism	Pyruvate metabolism	Pyruvate metabolism	pyruvate_metabolism.svg
steroid_metabolism	Steroid metabolism	Steroid metabolism	steroid_metabolism.svg
terpenoid_backbone_biosynthesis	Terpenoid backbone biosynthesis	Terpenoid backbone biosynthesis	terpenoid_backbone_biosynthesis.svg
tryptophan_metabolism	Tryptophan metabolism	Tryptophan metabolism	tryptophan_metabolism.svg
vitamin_d_metabolism	Vitamin D metabolism	Vitamin D metabolism	vitamin_d_metabolism.svg
beta_oxidation_of_even_chain_fatty_acids_mitochondrial	Beta oxidation of even-chain fatty acids (mitochondrial)	Beta oxidation of even-chain fatty acids (mitochondrial)	beta_oxidation_of_even_chain_fatty_acids_mitochondrial.svg
beta_oxidation_of_di_unsaturated_fatty_acids_n_6_mitochondrial	Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)	Beta oxidation of di-unsaturated fatty acids (n-6) (mitochondrial)	beta_oxidation_of_di_unsaturated_fatty_acids_n_6_mitochondrial.svg
beta_oxidation_of_branched_chain_fatty_acids_mitochondrial	Beta oxidation of branched-chain fatty acids (mitochondrial)	Beta oxidation of branched-chain fatty acids (mitochondrial)	beta_oxidation_of_branched_chain_fatty_acids_mitochondrial.svg
bile_acid_biosynthesis	Bile acid biosynthesis	Bile acid biosynthesis	bile_acid_biosynthesis.svg
ether_lipid_metabolism	Ether lipid metabolism	Ether lipid metabolism	ether_lipid_metabolism.svg
bile_acid_recycling	Bile acid recycling	Bile acid recycling	bile_acid_recycling.svg
beta_oxidation_of_even_chain_fatty_acids_peroxisomal	Beta oxidation of even-chain fatty acids (peroxisomal)	Beta oxidation of even-chain fatty acids (peroxisomal)	beta_oxidation_of_even_chain_fatty_acids_peroxisomal.svg
beta_oxidation_of_odd_chain_fatty_acids_mitochondrial	Beta oxidation of odd-chain fatty acids (mitochondrial)	Beta oxidation of odd-chain fatty acids (mitochondrial)	beta_oxidation_of_odd_chain_fatty_acids_mitochondrial.svg
beta_oxidation_of_phytanic_acid_peroxisomal	Beta oxidation of phytanic acid (peroxisomal)	Beta oxidation of phytanic acid (peroxisomal)	beta_oxidation_of_phytanic_acid_peroxisomal.svg
beta_oxidation_of_unsaturated_fatty_acids_n_7_mitochondrial	Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial)	Beta oxidation of unsaturated fatty acids (n-7) (mitochondrial)	beta_oxidation_of_unsaturated_fatty_acids_n_7_mitochondrial.svg
beta_oxidation_of_unsaturated_fatty_acids_n_9_mitochondrial	Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial)	Beta oxidation of unsaturated fatty acids (n-9) (mitochondrial)	beta_oxidation_of_unsaturated_fatty_acids_n_9_mitochondrial.svg
butanoate_metabolism	Butanoate metabolism	Butanoate metabolism	butanoate_metabolism.svg
