# ID will be use to load map from url
# compartment must be a valid name in the compartment table
# filename must be a .svg with only [a-zA-Z0-9_] characters

#NAME_ID	compartment name	name	filename	letter
peroxisome	Peroxisome	Peroxisome	peroxisome.svg	p
mitochondria	Mitochondria	Mitochondria	mitochondria.svg	m
lysosome	Lysosome	Lysosome	lysosome.svg	l
endoplasmic_reticulum	Endoplasmic reticulum	Endoplasmic reticulum	endoplasmic_reticulum.svg	r
golgi_apparatus	Golgi apparatus	Golgi apparatus	golgi_apparatus.svg	g
nucleus	Nucleus	Nucleus	nucleus.svg	n
cytosol_1	Cytosol	Cytosol (part1)	cytosol_1.svg	c1
cytosol_2	Cytosol	Cytosol (part2)	cytosol_2.svg	c2
cytosol_3	Cytosol	Cytosol (part3)	cytosol_3.svg	c3
cytosol_4	Cytosol	Cytosol (part4)	cytosol_4.svg	c4
cytosol_5	Cytosol	Cytosol (part5)	cytosol_5.svg	c5
