# ID will be use to load map from url
# subsystem name_id must be a valid name in the subsystem table
# filename must be a .svg with only [a-zA-Z0-9_] characters

#NAME_ID	subsystem name_id	name	filename
sulfur_metabolism	sulfur_metabolism	Sulfur metabolism	sulfur_metabolism.svg
transport_reactions	transport_reactions	Transport reactions	transport_reactions.svg
drug_metabolism	drug_metabolism	Drug metabolism	drug_metabolism.svg
beta_alanine_metabolism	beta_alanine_metabolism	Beta-alanine metabolism	beta_alanine_metabolism.svg
fructose_and_mannose_metabolism	fructose_and_mannose_metabolism	Fructose and mannose metabolism	fructose_and_mannose_metabolism.svg
tyrosine_metabolism	tyrosine_metabolism	Tyrosine metabolism	tyrosine_metabolism.svg
protein_assembly	protein_assembly	Protein assembly	protein_assembly.svg
fatty_acid_oxidation	fatty_acid_oxidation	Fatty acid oxidation	fatty_acid_oxidation.svg
vitamin_b12_metabolism	vitamin_b12_metabolism	Vitamin B12 metabolism	vitamin_b12_metabolism.svg
ubiquinone_synthesis	ubiquinone_synthesis	Ubiquinone synthesis	ubiquinone_synthesis.svg
biotin_metabolism	biotin_metabolism	Biotin metabolism	biotin_metabolism.svg
nicotinate_and_nicotinamide_metabolism	nicotinate_and_nicotinamide_metabolism	Nicotinate and nicotinamide metabolism	nicotinate_and_nicotinamide_metabolism.svg
phenylalanine_metabolism	phenylalanine_metabolism	Phenylalanine metabolism	phenylalanine_metabolism.svg
inositol_phosphate_metabolism	inositol_phosphate_metabolism	Inositol phosphate metabolism	inositol_phosphate_metabolism.svg
ros_detoxification	ros_detoxification	ROS detoxification	ros_detoxification.svg
glutamate_metabolism	glutamate_metabolism	Glutamate metabolism	glutamate_metabolism.svg
isolated	isolated	Isolated	isolated.svg
propanoate_metabolism	propanoate_metabolism	Propanoate metabolism	propanoate_metabolism.svg
starch_and_sucrose_metabolism	starch_and_sucrose_metabolism	Starch and sucrose metabolism	starch_and_sucrose_metabolism.svg
exchange_demand_reactions	exchange_demand_reactions	Exchange/demand reactions	exchange_demand_reactions.svg
glycolysis_gluconeogenesis	glycolysis_gluconeogenesis	Glycolysis / Gluconeogenesis	glycolysis_gluconeogenesis.svg
o_glycan_metabolism	o_glycan_metabolism	O-glycan metabolism	o_glycan_metabolism.svg
glycosphingolipid_biosynthesis_ganglio_series	glycosphingolipid_biosynthesis_ganglio_series	Glycosphingolipid biosynthesis-ganglio series	glycosphingolipid_biosynthesis_ganglio_series.svg
triacylglycerol_synthesis	triacylglycerol_synthesis	Triacylglycerol synthesis	triacylglycerol_synthesis.svg
peptide_metabolism	peptide_metabolism	Peptide metabolism	peptide_metabolism.svg
steroid_metabolism	steroid_metabolism	Steroid metabolism	steroid_metabolism.svg
butanoate_metabolism	butanoate_metabolism	Butanoate metabolism	butanoate_metabolism.svg
r_group_synthesis	r_group_synthesis	R group synthesis	r_group_synthesis.svg
nitrogen_metabolism	nitrogen_metabolism	Nitrogen metabolism	nitrogen_metabolism.svg
cysteine_and_methionine_metabolism	cysteine_and_methionine_metabolism	Cysteine and methionine metabolism	cysteine_and_methionine_metabolism.svg
pool_reactions	pool_reactions	Pool reactions	pool_reactions.svg
dietary_fiber_binding	dietary_fiber_binding	Dietary fiber binding	dietary_fiber_binding.svg
