# ID will be use to load map from url			
# subsystem name_id must be a valid name in the subsystem table			
# filename must be a .svg with only [a-zA-Z0-9_] characters			
#NAME_ID	subsystem name_id	name	filename
sce00620_pyruvate_metabolism	sce00620_pyruvate_metabolism	Pyruvate metabolism	pyruvate_metabolism.svg
sce00920_sulfur_metabolism	sce00920_sulfur_metabolism	Energy metabolism	energy_metabolism.svg
#sce00650_butanoate_metabolism	sce00650_butanoate_metabolism	Butanoate metabolism	butanoate_metabolism.svg
sce00500_starch_and_sucrose_metabolism	sce00500_starch_and_sucrose_metabolism	Starch and sucrose metabolism	starch_and_sucrose_metabolism.svg
#sce04011_mapk_signaling_pathway_yeast	sce04011_mapk_signaling_pathway_yeast	MAPK signaling pathway - yeast	mapk_signaling_pathway_yeast.svg
sce00340_histidine_metabolism	sce00340_histidine_metabolism	Histidine metabolism	histidine_metabolism.svg
#sce01230_biosynthesis_of_amino_acids	sce01230_biosynthesis_of_amino_acids	Biosynthesis of amino acids	biosynthesis_of_amino_acids.svg
sce00250_alanine_aspartate_and_glutamate_metabolism	sce00250_alanine_aspartate_and_glutamate_metabolism	Alanine, aspartate and glutamate metabolism	alanine_aspartate_and_glutamate_metabolism.svg
sce00330_arginine_and_proline_metabolism	sce00330_arginine_and_proline_metabolism	Arginine and proline metabolism	arginine_and_proline_metabolism.svg
sce00270_cysteine_and_methionine_metabolism	sce00270_cysteine_and_methionine_metabolism	Cysteine and methionine metabolism	cysteine_and_methionine_metabolism.svg
sce00740_riboflavin_metabolism	sce00740_riboflavin_metabolism	Riboflavin metabolism	riboflavin_metabolism.svg
sce00290_valine_leucine_and_isoleucine_biosynthesis	sce00290_valine_leucine_and_isoleucine_biosynthesis	Valine, leucine and isoleucine biosynthesis	valine_leucine_and_isoleucine_metabolism.svg
# c5 map has 0 reaction in common with the subsystem in the model			
sce00660_c5_branched_dibasic_acid_metabolism	sce00660_c5_branched_dibasic_acid_metabolism	C5-Branched dibasic acid metabolism	c5_branched_dibasic_acid_metabolism.svg
sce00770_pantothenate_and_coa_biosynthesis	sce00770_pantothenate_and_coa_biosynthesis	Pantothenate and CoA biosynthesis	pantothenate_and_coa_biosynthesis.svg
#sce01130_biosynthesis_of_antibiotics	sce01130_biosynthesis_of_antibiotics	Biosynthesis of antibiotics	biosynthesis_of_antibiotics.svg
#sce01210_2_oxocarboxylic_acid_metabolism	sce01210_2_oxocarboxylic_acid_metabolism	2-Oxocarboxylic acid metabolism	2_oxocarboxylic_acid_metabolism.svg
sce00790_folate_biosynthesis	sce00790_folate_biosynthesis	Folate biosynthesis	folate_biosynthesis.svg
sce00130_ubiquinone_and_other_terpenoid_quinone_biosynthesis	sce00130_ubiquinone_and_other_terpenoid_quinone_biosynthesis	Ubiquinone and other terpenoid-quinone biosynthesis	ubiquinone_and_other_terpenoid_quinone_biosynthesis.svg
sce00300_lysine_biosynthesis	sce00300_lysine_biosynthesis	Lysine biosynthesis	lysine_metabolism.svg
sce00350_tyrosine_metabolism	sce00350_tyrosine_metabolism	Tyrosine metabolism	tyrosine_metabolism.svg
sce00360_phenylalanine_metabolism	sce00360_phenylalanine_metabolism	Phenylalanine metabolism	phenylalanine_metabolism.svg
sce00380_tryptophan_metabolism	sce00380_tryptophan_metabolism	Tryptophan metabolism	tryptophan_metabolism.svg
sce00400_phenylalanine_tyrosine_and_tryptophan_biosynthesis	sce00400_phenylalanine_tyrosine_and_tryptophan_biosynthesis	Phenylalanine, tyrosine and tryptophan biosynthesis	phenylalanine_tyrosine_and_tryptophan_biosynthesis.svg
#sce00020_citrate_cycle_tca_cycle	sce00020_citrate_cycle_tca_cycle	Citrate cycle (TCA cycle)	citrate_cycle_tca_cycle.svg
sce00630_glyoxylate_and_dicarboxylate_metabolism	sce00630_glyoxylate_and_dicarboxylate_metabolism	Glyoxylate and dicarboxylate metabolism	glyoxylate_and_dicarboxylate_metabolism.svg
sce01200_carbon_metabolism	sce01200_carbon_metabolism	Carbon metabolism	carbon_metabolism.svg
#sce00280_valine_leucine_and_isoleucine_degradation	sce00280_valine_leucine_and_isoleucine_degradation	Valine, leucine and isoleucine degradation	valine_leucine_and_isoleucine_metabolism.svg
sce00230_purine_metabolism	sce00230_purine_metabolism	Purine metabolism	purine_metabolism.svg
sce00600_sphingolipid_metabolism	sce00600_sphingolipid_metabolism	Sphingolipid metabolism	sphingolipid_metabolism.svg
#gluconeogenesis	gluconeogenesis	Gluconeogenesis	enesis.svg
#sce00010_glycolysis	sce00010_glycolysis	Glycolysis	glycolysis.svg
sce00410_beta_alanine_metabolism	sce00410_beta_alanine_metabolism	beta-Alanine metabolism	beta_alanine_metabolism.svg
sce00640_propanoate_metabolism	sce00640_propanoate_metabolism	Propanoate metabolism	propanoate_metabolism.svg
sce00260_glycine_serine_and_threonine_metabolism	sce00260_glycine_serine_and_threonine_metabolism	Glycine, serine and threonine metabolism	glycine_serine_and_threonine_metabolism.svg
